Neutrino Energy [GeV],Proton Correction Factor,Neutron Correction Factor,Argon Correction Factor
5,0.9171785421785422,0.9117918246081345,0.9043033403551008
8,0.7912581699346405,0.7769152196118488,0.8823057644110276
11,0.7399368185060634,0.7081334830084702,0.8542502004811547
14,0.7106040541917082,0.6744422939798309,0.8437030357679591
17,0.6926600834775527,0.6597066612344673,0.8627392044885283
20,0.6673452768729642,0.6258018531717747,0.8651302605210421
24,0.6586631396886764,0.6048666259417634,0.8503006012024048
27,0.6542921074043938,0.5950539385304294,0.8540080160320641
30,0.6428498727735369,0.583206106870229,0.8432020839595231
33,0.6416726014854004,0.5776896481594468,0.8375914237050396
36,0.631279235306081,0.568697243974372,0.8321811441739305
39,0.629396218743647,0.5682303856721278,0.8260869565217391
42,0.6179489785547312,0.5764968994612178,0.8316801923654944
45,0.6129590072220527,0.5527760829774253,0.8162508766656648
49,0.6039231629230613,0.5522539940978936,0.8151673011420557
52,0.6062023385866803,0.5445947320248145,0.8151673011420557
55,0.6011184544992374,0.5396502643350956,0.8089561210178321
58,0.5947127605490595,0.5356852379015861,0.8050490883590463
61,0.5996542607280863,0.5361464158617184,0.8135644159487077
64,0.6005490036600244,0.5301658357920439,0.8085362188157499
67,0.5942427016580205,0.524613506916192,0.8092375513475604
71,0.5854427162752872,0.5168836452400325,0.803226129646328
74,0.5810124008944908,0.5245018300122001,0.8038272718164513
77,0.5806812404677173,0.5178408051235133,0.7958917835671343
80,0.5760902714242147,0.5100650671004473,0.7976357443398117
83,0.5698028855923593,0.5165259839316587,0.7963334001202164
86,0.5713123919894276,0.5033025099075297,0.7962740384615384
89,0.5799959341329538,0.5045255771382081,0.7930274494089361
92,0.5635550132194428,0.508340113913751,0.7911030958821761
96,0.5643554290361936,0.5000508388408744,0.7927061416691714
99,0.5745373195037624,0.5046757471030697,0.7966339410939691
102,0.5700630465731137,0.49445743923522834,0.7892996693718064
105,0.5623412254852149,0.4892210697579825,0.7933279903826889
108,0.5615603413246648,0.48800325335502237,0.7843903416491333
111,0.5543246264864315,0.4947667919926837,0.7937287116810259
114,0.5689164464322016,0.49094976611755137,0.7913034766055506
118,0.5625127058345192,0.49298352654057354,0.7891783567134268
121,0.5498323681804328,0.4951189749847468,0.7936285313564416
124,0.5548098434004475,0.4804350035572721,0.789420957723903
