Neutrino Energy [GeV],Proton Correction Factor,Neutron Correction Factor,Argon Correction Factor
5,0.9313063063063063,0.9287982788648704,0.9031999197512288
8,0.8343545751633987,0.8171603677221655,0.8975438596491228
11,0.7947620503413839,0.7704867843657516,0.8967522052927025
14,0.7817052052561883,0.7471732708566772,0.9022142069932872
17,0.7768502494146391,0.7316154002851905,0.9228534215008516
20,0.7697475570032574,0.7222278790347215,0.9287575150300601
24,0.7680333706379082,0.708613317043372,0.9329659318637274
27,0.7569161920260374,0.7073071443110116,0.9362725450901803
30,0.7548091603053435,0.7007633587786259,0.9428914938382927
33,0.7558246006714824,0.7005287777099858,0.9392846408175534
36,0.7522879804759,0.6899216922607546,0.9427913034766056
39,0.7505590567188453,0.6817950544418439,0.9457022640753356
42,0.7486533184266694,0.6963505133678967,0.9475002504759042
45,0.7407181365069677,0.6868008948545862,0.9493036769862739
49,0.7498729545685537,0.6854584308537702,0.9512121819274695
52,0.7432638535841383,0.6864639479304383,0.9474053295932678
55,0.7437722419928826,0.678527856852379,0.9493087557603687
58,0.74133197763091,0.6747661651077674,0.9508114606291325
61,0.7455765710799268,0.6800203355363498,0.9536165097174915
64,0.7399349328995527,0.6692440736595788,0.9526099589219517
67,0.7466178415217171,0.677786818551668,0.9510069131349564
71,0.7420961675307512,0.6569365337672904,0.9496042480713356
74,0.7376499288473267,0.6657177714518097,0.9489029155395251
77,0.742755465175394,0.65934736200061,0.9497995991983968
80,0.7272542441801362,0.6666327775518504,0.9504107393307955
83,0.7328794960373908,0.6552425505949354,0.9494089360849529
86,0.732642065670428,0.6662940758053043,0.9559294871794872
89,0.7396828623704005,0.6553442489575918,0.951813263874975
92,0.7291031116534472,0.6614117168429617,0.9491032962628995
96,0.7279381862545751,0.6608032536858159,0.9525097685602645
99,0.7341875127110027,0.6678186623297419,0.952213985173312
102,0.7302216798861094,0.6508695210007119,0.9557158601342551
105,0.7206584696677167,0.6514134634940004,0.952213985173312
108,0.730089394555059,0.6464009760065067,0.9504057709648331
111,0.7224311413761562,0.6558276597906717,0.9547184932879182
114,0.7240292742427322,0.6512100874516982,0.9467989179440938
118,0.7304330148404147,0.6541590400650803,0.9524048096192385
121,0.7152290968200752,0.6581248728899736,0.9496092967341214
124,0.7276794793573317,0.6415286106311617,0.9511120016028852
