0.0,	0.5,	0.030303591670871570,
0.5,	0.5625,	0.007325160279266537,
0.5625,	0.625,	0.00831420556915676,
0.625,	0.6875,	0.0092649822017217,
0.6875,	0.75,	0.010177490176961356,
0.75,	0.8125,	0.011089998152201012,
0.8125,	0.875,	0.012002506127440669,
0.875,	0.9375,	0.012866938965250384,
0.9375,	1.0,	0.01368329666563017,
1.0,	1.125,	0.02981566643239965,
1.125,	1.25,	0.03220392586360711,
1.25,	1.375,	0.033715013924502914,
1.375,	1.5,	0.03522672108125194,
1.5,	1.675,	0.05191022811276219,
1.675,	1.75,	0.02340588339903388,
1.75,	1.875,	0.04074077161351495,
1.875,	2.0,	0.04221264820234592,
2.0,	2.25,	0.08635063058041385,
2.25,	2.5,	0.08617694573832219,
2.5,	2.75,	0.08257354348321329,
2.75,	3.0,	0.07431057564520524,
3.0,	3.25,	0.06386527046619168,
3.25,	3.5,	0.05217367665645861,
3.5,	3.75,	0.039271345374811986,
3.75,	4.0,	0.0270606612990639,
4.0,	4.5,	0.026355764749912615,
4.5,	5.0,	0.00875048176370311,
5.0,	5.5,	0.004490114781372806,
5.5,	6.0,	0.0033879731839047745,
6.0,	6.5,	0.002876149673881406,
6.5,	7.0,	0.0026130818997861897,
7.0,	7.5,	0.002329693056554013,
7.5,	8.0,	0.002168072939454591,
8.0,	9.0,	0.004049331387068357,
9.0,	10.0,	0.003650845389807714,
10.0,	11.0,	0.0033657482369343636,
11.0,	12.0,	0.002988543774761638,
12.0,	13.0,	0.002791422570813419,
13.0,	14.0,	0.002451290649273626,
14.0,	15.0,	0.0020017201441648773,
15.0,	16.0,	0.0015097853117731971,
16.0,	18.0,	0.001974246426192922,
18.0,	20.0,	0.001297185416941049,
20.0,	22.0,	0.0010996380537390308,
22.0,	24.0,	0.0008003730332882926,
24.0,	26.0,	0.0006079483260725642,
26.0,	28.0,	0.00046160044345219,
28.0,	30.0,	0.0003936343042457902,
30.0,	32.0,	0.0002616542978478585,
32.0,	36.0,	0.000414133212573968,
36.0,	40.0,	0.0003136944562050756,
40.0,	44.0,	0.00017357603823251104,
44.0,	48.0,	0.00012754192584631867,
48.0,	52.0,	0.00009999238026499851,
52.0,	56.0,	0.00005469424256255198,
56.0,	60.0,	0.00004329356188231641,
60.0,	68.0,	0.000055096685887558225
