0.0,	0.5,	0.016929222000352028,
0.5,	0.5625,	0.0035194637647099304,
0.5625,	0.625,	0.003982911652574092,
0.625,	0.6875,	0.004689226073879411,
0.6875,	0.75,	0.0056384070286258844,
0.75,	0.8125,	0.006587587983372361,
0.8125,	0.875,	0.007536768938118833,
0.875,	0.9375,	0.008526097329341153,
0.9375,	1.0,	0.009555573157039324,
1.0,	1.125,	0.02219957379717314,
1.125,	1.25,	0.025883419771255443,
1.25,	1.375,	0.02913320840862738,
1.375,	1.5,	0.03187450855068453,
1.5,	1.675,	0.048215685044267764,
1.675,	1.75,	0.021233326414717354,
1.75,	1.875,	0.03557762174307849,
1.875,	2.0,	0.03565148018823996,
2.0,	2.25,	0.07080576484251018,
2.25,	2.5,	0.06872942021309965,
2.5,	2.75,	0.06598451916158472,
2.75,	3.0,	0.0638627151674644,
3.0,	3.25,	0.061082341199759714,
3.25,	3.5,	0.057105041640653234,
3.5,	3.75,	0.051882186886053255,
3.75,	4.0,	0.0458938047948257,
4.0,	4.5,	0.07090599111203268,
4.5,	5.0,	0.04338023277731533,
5.0,	5.5,	0.022817643597432203,
5.5,	6.0,	0.01168663424300967,
6.0,	6.5,	0.006511242709143518,
6.5,	7.0,	0.004193352246408958,
7.0,	7.5,	0.0032400995695741996,
7.5,	8.0,	0.002645292794772628,
8.0,	9.0,	0.004495807219796442,
9.0,	10.0,	0.0038447555266115387,
10.0,	11.0,	0.003264430725120436,
11.0,	12.0,	0.003016677815429217,
12.0,	13.0,	0.002728910054138131,
13.0,	14.0,	0.002513499782078639,
14.0,	15.0,	0.0020709043104832217,
15.0,	16.0,	0.0016787775293643737,
16.0,	18.0,	0.0026596485819110377,
18.0,	20.0,	0.0017968094847206754,
20.0,	22.0,	0.0012576733837704945,
22.0,	24.0,	0.0008581662813377083,
24.0,	26.0,	0.0005765734934597889,
26.0,	28.0,	0.0004577245506450493,
28.0,	30.0,	0.0003508510890818546,
30.0,	32.0,	0.0002462679176518669,
32.0,	36.0,	0.00032606693225858274,
36.0,	40.0,	0.00018456856534692867,
40.0,	44.0,	0.00009852534531531461,
44.0,	48.0,	0.00006343354787143141,
48.0,	52.0,	0.000030809803926768894,
52.0,	56.0,	0.000011299529263990873,
56.0,	60.0,	0.000005557938727995897,
60.0,	68.0,	0.0000018957899910279147
